station,ax,ay,az,bx,by,bz
3.600000000000000000e+01,3.838999174931642244e+01,1.096076422639813863e+01,9.113924050632910223e+00,4.320781140488468708e+01,2.500991533766991637e+01,1.511392405063291022e+01
3.700000000000000000e+01,3.855662312452449925e+01,1.097648724019666666e+01,9.367088607594936889e+00,4.316662567021349162e+01,2.540690927773816199e+01,1.536708860759493689e+01
3.800000000000000000e+01,3.872467325048946662e+01,1.098712603425888901e+01,9.620253164556961778e+00,4.312351219191139506e+01,2.580200077945844583e+01,1.562025316455696178e+01
3.900000000000000000e+01,3.889360004816983718e+01,1.099454810710362729e+01,9.873417721518986667e+00,4.307723027036909969e+01,2.619730664399978792e+01,1.587341772151898667e+01
4.000000000000000000e+01,3.906285352591623194e+01,1.100067275775791487e+01,1.012658227848101333e+01,4.302644825899704983e+01,2.659495528378579365e+01,1.612658227848101333e+01
4.100000000000000000e+01,3.923188036667675505e+01,1.100745935794354047e+01,1.037974683544303822e+01,4.296975053788133181e+01,2.699707106696986969e+01,1.637974683544303645e+01
4.200000000000000000e+01,3.940012758010908556e+01,1.101689498870700490e+01,1.063291139240506311e+01,4.290564421968360165e+01,2.740575798470582214e+01,1.663291139240506311e+01
4.300000000000000000e+01,3.956704516585263320e+01,1.103098151802479876e+01,1.088607594936708978e+01,4.283256556982104968e+01,2.782308269147004864e+01,1.688607594936708978e+01
4.400000000000000000e+01,3.973208776953292443e+01,1.105172220768410618e+01,1.113924050632911289e+01,4.274888615807946479e+01,2.825105699097870371e+01,1.713924050632911289e+01
4.500000000000000000e+01,3.989471534928477325e+01,1.108110794743867089e+01,1.139240506329113956e+01,4.265291879352096771e+01,2.869161986293797639e+01,1.739240506329113956e+01
4.600000000000000000e+01,4.005439290663912288e+01,1.112110322193290379e+01,1.164556962025316444e+01,4.254292332767566620e+01,2.914661914855837566e+01,1.764556962025316267e+01
4.700000000000000000e+01,4.021058937044623605e+01,1.117363192118972037e+01,1.189873417721518933e+01,4.241711244134719294e+01,2.961779303511286443e+01,1.789873417721518933e+01
4.800000000000000000e+01,4.036277575504065851e+01,1.124056310872557596e+01,1.215189873417721600e+01,4.227365755671386438e+01,3.010675150153089064e+01,1.815189873417721600e+01
4.900000000000000000e+01,4.051042274307225455e+01,1.132369686286606836e+01,1.240506329113923911e+01,4.211069503760852939e+01,3.061495790784059423e+01,1.840506329113923911e+01
5.000000000000000000e+01,4.065299786838987472e+01,1.142475030695496407e+01,1.265822784810126578e+01,4.192633285583135461e+01,3.114371093095573428e+01,1.865822784810126578e+01
5.100000000000000000e+01,4.078996249423460796e+01,1.154534394329965785e+01,1.291139240506329067e+01,4.171865790913619776e+01,3.169412706758845033e+01,1.891139240506328889e+01
5.200000000000000000e+01,4.092076879607328266e+01,1.168698840431280850e+01,1.316455696202531556e+01,4.148574417633913924e+01,3.226712394165149078e+01,1.916455696202531556e+01
5.300000000000000000e+01,4.104485696612705681e+01,1.185107173280016823e+01,1.341772151898734222e+01,4.122566188624520578e+01,3.286340466801376436e+01,1.941772151898734222e+01
5.400000000000000000e+01,4.116165285763967319e+01,1.203884730204872788e+01,1.367088607594936711e+01,4.093648785942861679e+01,3.348344353642673354e+01,1.967088607594936889e+01
5.500000000000000000e+01,4.127056628097883362e+01,1.225142248552371349e+01,1.392405063291139200e+01,4.061631715526804953e+01,3.412747328827596505e+01,1.992405063291139200e+01
5.600000000000000000e+01,4.137099015075106223e+01,1.248974818569228873e+01,1.417721518987341867e+01,4.026327612126437572e+01,3.479547426385681064e+01,2.017721518987341867e+01
5.700000000000000000e+01,4.146230066340441311e+01,1.275460933171158295e+01,1.443037974683544178e+01,3.987553689811336000e+01,3.548716569836467727e+01,2.043037974683544178e+01
5.800000000000000000e+01,4.154385865864953331e+01,1.304661645624516986e+01,1.468354430379746844e+01,3.945133338316267668e+01,3.620199943989473468e+01,2.068354430379746844e+01
5.900000000000000000e+01,4.161501228599200175e+01,1.336619846214848195e+01,1.493670886075949333e+01,3.898897859798336896e+01,3.693915635160979605e+01,2.093670886075949511e+01
6.000000000000000000e+01,4.167510106045624951e+01,1.371359668969650158e+01,1.518987341772151822e+01,3.848688334438508463e+01,3.769754564203046243e+01,2.118987341772151822e+01
6.100000000000000000e+01,4.172346135008596946e+01,1.408886039381365940e+01,1.544303797468354489e+01,3.794357596916204045e+01,3.847580734139056347e+01,2.144303797468354489e+01
6.200000000000000000e+01,4.175943329307352059e+01,1.449184373773490897e+01,1.569620253164556800e+01,3.735772299329286739e+01,3.927231810761077924e+01,2.169620253164556800e+01
6.300000000000000000e+01,4.178236909558720669e+01,1.492220440398466863e+01,1.594936708860759467e+01,3.672815029855939883e+01,4.008520050233639864e+01,2.194936708860759467e+01
6.400000000000000000e+01,4.179164261383312606e+01,1.537940391484423408e+01,1.620253164556962133e+01,3.605386450606200555e+01,4.091233582563096149e+01,2.220253164556962133e+01
6.500000000000000000e+01,4.178666007699715834e+01,1.586270974201354278e+01,1.645569620253164445e+01,3.533407412940420755e+01,4.175138053766077917e+01,2.245569620253164445e+01
6.600000000000000000e+01,4.176687176290813852e+01,1.637119926852547636e+01,1.670886075949367111e+01,3.456821004286307897e+01,4.259978622780752744e+01,2.270886075949367111e+01
6.700000000000000000e+01,4.173178439700245690e+01,1.690376564489963940e+01,1.696202531645569422e+01,3.375594477395775073e+01,4.345482301732484132e+01,2.296202531645569422e+01
6.800000000000000000e+01,4.168097400887948112e+01,1.745912555601818283e+01,1.721518987341772089e+01,3.289721011251178595e+01,4.431360620258045202e+01,2.321518987341772089e+01
6.900000000000000000e+01,4.161409895075723142e+01,1.803582888552363173e+01,1.746835443037974755e+01,3.199221252622082545e+01,4.517312586420557352e+01,2.346835443037974755e+01
7.000000000000000000e+01,4.153091275967283735e+01,1.863227023121062231e+01,1.772151898734177067e+01,3.104144588703874064e+01,4.603027908559649717e+01,2.372151898734177067e+01
7.100000000000000000e+01,4.143127653133420552e+01,1.924670218871642291e+01,1.797468354430379733e+01,3.004570104395121177e+01,4.688190434496539183e+01,2.397468354430379733e+01
7.200000000000000000e+01,4.131517046888541245e+01,1.987725028287562523e+01,1.822784810126582045e+01,2.900607182582230692e+01,4.772481757149873260e+01,2.422784810126582045e+01
