station,ax,ay,az,bx,by,bz
1.300000000000000000e+01,3.620430707539556892e+01,2.685862955133797136e+00,3.291139240506328889e+00,4.751460483720880745e+01,8.695928761650327132e+00,9.291139240506328889e+00
1.400000000000000000e+01,3.636507256811598410e+01,2.906162708011852835e+00,3.544303797468354666e+00,4.756277894732100009e+01,9.390987550600176093e+00,9.544303797468355555e+00
1.500000000000000000e+01,3.652449730658287308e+01,3.128380645753884082e+00,3.797468354430379556e+00,4.760077585237542053e+01,1.008906713079313988e+01,9.797468354430378668e+00
1.600000000000000000e+01,3.668256465717698944e+01,3.352508609371068538e+00,4.050632911392405333e+00,4.762852086752887004e+01,1.079001838212692732e+01,1.005063291139240533e+01
1.700000000000000000e+01,3.683925803591201031e+01,3.578538312633242402e+00,4.303797468354430222e+00,4.764594149391568578e+01,1.149369069177561897e+01,1.030379746835443022e+01
1.800000000000000000e+01,3.699456090934432950e+01,3.806461342370671463e+00,4.556962025316455112e+00,4.765296744571649867e+01,1.219993198624280772e+01,1.055696202531645511e+01
1.900000000000000000e+01,3.714845679548096768e+01,4.036269158782042510e+00,4.810126582278480889e+00,4.764953067675683229e+01,1.290858876387883569e+01,1.081012658227848178e+01
2.000000000000000000e+01,3.730092926468569203e+01,4.267953095748688419e+00,5.063291139240506666e+00,4.763556540662816730e+01,1.361950612785523873e+01,1.106329113924050667e+01
2.100000000000000000e+01,3.745196194058314632e+01,4.501504361155021172e+00,5.316455696202531556e+00,4.761100814632352751e+01,1.433252781958937483e+01,1.131645569620253156e+01
2.200000000000000000e+01,3.760153850096100570e+01,4.736914037215171902e+00,5.569620253164556445e+00,4.757579772338038993e+01,1.504749625261212564e+01,1.156962025316455644e+01
2.300000000000000000e+01,3.774964267867024859e+01,4.974173080805806890e+00,5.822784810126582222e+00,4.752987530652359993e+01,1.576425254687137034e+01,1.182278481012658133e+01
2.400000000000000000e+01,3.789625826252326846e+01,5.213272323805141717e+00,6.075949367088608000e+00,4.747318442980066777e+01,1.648263656346384920e+01,1.207594936708860800e+01
2.500000000000000000e+01,3.804136909818995349e+01,5.454202473438098053e+00,6.329113924050632889e+00,4.740567101620281676e+01,1.720248693978804511e+01,1.232911392405063289e+01
2.600000000000000000e+01,3.818495908909164882e+01,5.696954112627628852e+00,6.582278481012657778e+00,4.732728340076427287e+01,1.792364112511024743e+01,1.258227848101265778e+01
2.700000000000000000e+01,3.832701219729293030e+01,5.941517700352173748e+00,6.835443037974683556e+00,4.723797235313314502e+01,1.864593541653630027e+01,1.283544303797468444e+01
2.800000000000000000e+01,3.846751244439121109e+01,6.187883572009241995e+00,7.088607594936709333e+00,4.713769109960709613e+01,1.936920499538102547e+01,1.308860759493670933e+01
2.900000000000000000e+01,3.860644391240406748e+01,6.436041939785105193e+00,7.341772151898734222e+00,4.702639534462689852e+01,2.009328396392750449e+01,1.334177215189873422e+01
3.000000000000000000e+01,3.874379074465428374e+01,6.685982893030590901e+00,7.594936708860759111e+00,4.690404329172151421e+01,2.081800538256802113e+01,1.359493670886075911e+01
3.100000000000000000e+01,3.887953714665260208e+01,6.937696398642967388e+00,7.848101265822784001e+00,4.677059566389814904e+01,2.154320130731867522e+01,1.384810126582278400e+01
3.200000000000000000e+01,3.901366738697806369e+01,7.191172301453883087e+00,8.101265822784810666e+00,4.662601572347094958e+01,2.226870282769920451e+01,1.410126582278481067e+01
3.300000000000000000e+01,3.914616579815596964e+01,7.446400324623365208e+00,8.354430379746835555e+00,4.647026929132209006e+01,2.299434010496976910e+01,1.435443037974683556e+01
3.400000000000000000e+01,3.927701677753338316e+01,7.703370070039873951e+00,8.607594936708860445e+00,4.630332476558934474e+01,2.371994241071621445e+01,1.460759493670886044e+01
3.500000000000000000e+01,3.940620478815213801e+01,7.962071018726359029e+00,8.860759493670885334e+00,4.612515313977390718e+01,2.444533816577514074e+01,1.486075949367088533e+01
3.600000000000000000e+01,3.953371435961932434e+01,8.222492531252344250e+00,9.113924050632910223e+00,4.593572802026279334e+01,2.517035497949022727e+01,1.511392405063291022e+01
3.700000000000000000e+01,3.965953008897523091e+01,8.484623848151992220e+00,9.367088607594936889e+00,4.573502564326017961e+01,2.589481968929094435e+01,1.536708860759493689e+01
3.800000000000000000e+01,3.978363664155860135e+01,8.748454090348158019e+00,9.620253164556961778e+00,4.552302489112193484e+01,2.661855840058479572e+01,1.562025316455696178e+01
3.900000000000000000e+01,3.990601875186936098e+01,9.013972259582397228e+00,9.873417721518986667e+00,4.529970730808802415e+01,2.734139652695424516e+01,1.587341772151898667e+01
4.000000000000000000e+01,4.002666122442853691e+01,9.281167238850935419e+00,1.012658227848101333e+01,4.506505711540741999e+01,2.806315883064910111e+01,1.612658227848101333e+01
4.100000000000000000e+01,4.014554893463549945e+01,9.550027792846524477e+00,1.037974683544303822e+01,4.481906122585041174e+01,2.878366946336533161e+01,1.637974683544303645e+01
4.200000000000000000e+01,4.026266682962248211e+01,9.820542568406272821e+00,1.063291139240506311e+01,4.456170925760320500e+01,2.950275200730107983e+01,1.663291139240506311e+01
4.300000000000000000e+01,4.037799992910620972e+01,1.009270009496532161e+01,1.088607594936708978e+01,4.429299354753997875e+01,3.022022951648055766e+01,1.688607594936708978e+01
4.400000000000000000e+01,4.049153332623671275e+01,1.036648878501640425e+01,1.113924050632911289e+01,4.401290916386759733e+01,3.093592455833635313e+01,1.713924050632911289e+01
4.500000000000000000e+01,4.060325218844329243e+01,1.064189693457529629e+01,1.139240506329113956e+01,4.372145391813837989e+01,3.164965925554083270e+01,1.739240506329113956e+01
4.600000000000000000e+01,4.071314175827750859e+01,1.091891272365206156e+01,1.164556962025316444e+01,4.341862837662650065e+01,3.236125532807693617e+01,1.764556962025316267e+01
4.700000000000000000e+01,4.082118735425321887e+01,1.119752421672816567e+01,1.189873417721518933e+01,4.310443587106357199e+01,3.307053413553884980e+01,1.789873417721518933e+01
4.800000000000000000e+01,4.092737437168364778e+01,1.147771936323936792e+01,1.215189873417721600e+01,4.277888250872936027e+01,3.377731671965275950e+01,1.815189873417721600e+01
4.900000000000000000e+01,4.103168828351532937e+01,1.175948599806438111e+01,1.240506329113923911e+01,4.244197718189352031e+01,3.448142384700796725e+01,1.840506329113923911e+01
5.000000000000000000e+01,4.113411464115907279e+01,1.204281184201935950e+01,1.265822784810126578e+01,4.209373157660447617e+01,3.518267605198858661e+01,1.865822784810126578e+01
5.100000000000000000e+01,4.123463907531775163e+01,1.232768450235806235e+01,1.291139240506329067e+01,4.173416018082169643e+01,3.588089367989572054e+01,1.891139240506328889e+01
