station,ax,ay,az,bx,by,bz
1.600000000000000000e+01,2.977689300210583312e+01,3.651936902677911601e+00,5.966101694915254328e+00,5.336996583830502061e+01,1.329085198240334975e+01,1.396610169491525433e+01
1.700000000000000000e+01,2.974817341563483453e+01,3.878940375065966339e+00,6.338983050847457612e+00,5.316102263592793520e+01,1.410339222677855275e+01,1.433898305084745672e+01
1.800000000000000000e+01,2.971772329888119302e+01,4.105718199186819461e+00,6.711864406779661785e+00,5.293970954175030386e+01,1.491265079169735053e+01,1.471186440677966090e+01
1.900000000000000000e+01,2.968554442320909814e+01,4.332257182771940052e+00,7.084745762711864181e+00,5.270607805250589450e+01,1.571843937301527205e+01,1.508474576271186507e+01
2.000000000000000000e+01,2.965163866054924924e+01,4.558544147446781380e+00,7.457627118644067465e+00,5.246018253126184305e+01,1.652057047400876044e+01,1.545762711864406747e+01
2.100000000000000000e+01,2.961600798328992568e+01,4.784565929497409442e+00,7.830508474576270750e+00,5.220208019476909556e+01,1.731885744900327850e+01,1.583050847457626986e+01
2.200000000000000000e+01,2.957865446416229815e+01,5.010309380636266852e+00,8.203389830508474034e+00,5.193183110014878423e+01,1.811311454680336297e+01,1.620338983050847403e+01
2.300000000000000000e+01,2.953958027611981407e+01,5.235761368767042789e+00,8.576271186440678207e+00,5.164949813091770636e+01,1.890315695391456785e+01,1.657627118644067821e+01
2.400000000000000000e+01,2.949878769221179908e+01,5.460908778748608583e+00,8.949152542372882380e+00,5.135514698235611064e+01,1.968880083754721255e+01,1.694915254237288238e+01
2.500000000000000000e+01,2.945627908545124640e+01,5.685738513157950536e+00,9.322033898305084776e+00,5.104884614622129391e+01,2.046986338839190012e+01,1.732203389830508655e+01
2.600000000000000000e+01,2.941205692867673704e+01,5.910237493052092894e+00,9.694915254237287172e+00,5.073066689481038338e+01,2.124616286315696101e+01,1.769491525423728717e+01
2.700000000000000000e+01,2.936612379440862952e+01,6.134392658728923031e+00,1.006779661016949134e+01,5.040068326437621238e+01,2.201751862685772920e+01,1.806779661016949134e+01
2.800000000000000000e+01,2.931848235469937336e+01,6.358190970486918836e+00,1.044067796610169552e+01,5.005897203790004824e+01,2.278375119484806532e+01,1.844067796610169552e+01
2.900000000000000000e+01,2.926913538097809564e+01,6.581619409383695718e+00,1.081355932203389969e+01,4.970561272722513024e+01,2.354468227458410468e+01,1.881355932203389969e+01
3.000000000000000000e+01,2.921808574388936108e+01,6.804664977993358121e+00,1.118644067796610031e+01,4.934068755455530209e+01,2.430013480711066975e+01,1.918644067796610031e+01
3.100000000000000000e+01,2.916533641312618386e+01,7.027314701162592492e+00,1.155932203389830626e+01,4.896428143332294525e+01,2.504993300826063773e+01,1.955932203389830448e+01
3.200000000000000000e+01,2.911089045725728397e+01,7.249555626765463501e+00,1.193220338983050866e+01,4.857648194843072531e+01,2.579390240955764924e+01,1.993220338983050866e+01
3.300000000000000000e+01,2.905475104354856697e+01,7.471374826456878893e+00,1.230508474576271105e+01,4.817737933587167731e+01,2.653186989881272595e+01,2.030508474576271283e+01
3.400000000000000000e+01,2.899692143777887310e+01,7.692759396424665219e+00,1.267796610169491522e+01,4.776706646173244764e+01,2.726366376040526518e+01,2.067796610169491345e+01
3.500000000000000000e+01,2.893740500405002081e+01,7.913696458140210055e+00,1.305084745762711762e+01,4.734563880058455254e+01,2.798911371523904279e+01,2.105084745762711762e+01
3.600000000000000000e+01,2.887620520459107709e+01,8.134173159107646711e+00,1.342372881355932357e+01,4.691319441326866269e+01,2.870805096036401949e+01,2.142372881355932179e+01
3.700000000000000000e+01,2.881332559955697548e+01,8.354176673611515724e+00,1.379661016949152597e+01,4.646983392407707925e+01,2.942030820825463167e+01,2.179661016949152597e+01
3.800000000000000000e+01,2.874876984682139636e+01,8.573694203462876473e+00,1.416949152542372836e+01,4.601566049733975916e+01,3.012571972573544343e+01,2.216949152542373014e+01
3.900000000000000000e+01,2.868254170176399143e+01,8.792712978743798757e+00,1.454237288135593253e+01,4.555077981341926829e+01,3.082412137254517148e+01,2.254237288135593076e+01
4.000000000000000000e+01,2.861464501705191310e+01,9.011220258550233453e+00,1.491525423728813493e+01,4.507530004412036106e+01,3.151535063952998428e+01,2.291525423728813493e+01
4.100000000000000000e+01,2.854508374241569868e+01,9.229203331733186744e+00,1.528813559322033910e+01,4.458933182751972879e+01,3.219924668645737142e+01,2.328813559322033910e+01
4.200000000000000000e+01,2.847386192441950570e+01,9.446649517638151750e+00,1.566101694915254150e+01,4.409298824222195634e+01,3.287565037944156643e+01,2.366101694915253972e+01
4.300000000000000000e+01,2.840098370622570911e+01,9.663546166842779783e+00,1.603389830508474390e+01,4.358638478104755620e+01,3.354440432797198923e+01,2.403389830508474390e+01
4.400000000000000000e+01,2.832645332735388166e+01,9.879880661892743277e+00,1.640677966101694807e+01,4.306963932415929008e+01,3.420535292153600437e+01,2.440677966101694807e+01
4.500000000000000000e+01,2.825027512343418223e+01,1.009564041803569623e+01,1.677966101694915224e+01,4.254287211163293847e+01,3.485834236582749668e+01,2.477966101694915224e+01
4.600000000000000000e+01,2.817245352595511321e+01,1.031081288395340145e+01,1.715254237288135641e+01,4.200620571547895565e+01,3.550322071853288719e+01,2.515254237288135641e+01
4.700000000000000000e+01,2.809299306200576041e+01,1.052538554249183811e+01,1.752542372881356059e+01,4.145976501112157564e+01,3.613983792468609835e+01,2.552542372881356059e+01
4.800000000000000000e+01,2.801189835401242689e+01,1.073934591138938899e+01,1.789830508474576476e+01,4.090367714834182067e+01,3.676804585158448191e+01,2.589830508474576476e+01
4.900000000000000000e+01,2.792917411946972450e+01,1.095268154400293703e+01,1.827118644067796538e+01,4.033807152169146804e+01,3.738769832325739628e+01,2.627118644067796538e+01
5.000000000000000000e+01,2.784482517066616225e+01,1.116538003003194568e+01,1.864406779661016955e+01,3.976307974038446247e+01,3.799865115447950359e+01,2.664406779661016955e+01
5.100000000000000000e+01,2.775885641440418539e+01,1.137742899624038984e+01,1.901694915254237372e+01,3.917883559767324897e+01,3.860076218432080708e+01,2.701694915254237372e+01
5.200000000000000000e+01,2.767127285171475393e+01,1.158881610717652322e+01,1.938983050847457434e+01,3.858547503971673365e+01,3.919389130922569109e+01,2.738983050847457434e+01
5.300000000000000000e+01,2.758207957756640027e+01,1.179952906589049455e+01,1.976271186440678207e+01,3.798313613394732613e+01,3.977790051561325413e+01,2.776271186440678207e+01
5.400000000000000000e+01,2.749128178056884408e+01,1.200955561464967047e+01,2.013559322033898269e+01,3.737195903694447452e+01,4.035265391199127549e+01,2.813559322033898269e+01
5.500000000000000000e+01,2.739888474267117857e+01,1.221888353565171137e+01,2.050847457627118686e+01,3.675208596182194754e+01,4.091801776057645412e+01,2.850847457627118686e+01
5.600000000000000000e+01,2.730489383885457144e+01,1.242750065173530949e+01,2.088135593220339103e+01,3.612366114513670823e+01,4.147386050841350169e+01,2.888135593220339103e+01
5.700000000000000000e+01,2.720931453681962253e+01,1.263539482708856454e+01,2.125423728813559165e+01,3.548683081332688261e+01,4.202005281798577130e+01,2.925423728813559165e+01
5.800000000000000000e+01,2.711215239666825383e+01,1.284255396795496651e+01,2.162711864406779938e+01,3.484174314868673150e+01,4.255646759731053663e+01,2.962711864406779938e+01
5.900000000000000000e+01,2.701341307058030594e+01,1.304896602333690758e+01,2.200000000000000000e+01,3.418854825488654114e+01,4.308298002951158878e+01,3.000000000000000000e+01
