station,ax,ay,az,bx,by,bz
3.600000000000000000e+01,2.998603957756089500e+01,9.151122624855914101e-01,1.220338983050847581e+01,5.497440589219498008e+01,1.677705814556917696e+00,1.820338983050847759e+01
3.700000000000000000e+01,2.998525329103448911e+01,9.405238287812690556e-01,1.254237288135593253e+01,5.497296436689656218e+01,1.724293686098993250e+00,1.854237288135593076e+01
3.800000000000000000e+01,2.998444546956733348e+01,9.659347196074176134e-01,1.288135593220338926e+01,5.497148336087344234e+01,1.770880319280265569e+00,1.888135593220339103e+01
3.900000000000000000e+01,2.998361611373959335e+01,9.913449167143321139e-01,1.322033898305084776e+01,5.496996287518926039e+01,1.817465680642942338e+00,1.922033898305084776e+01
4.000000000000000000e+01,2.998276522414690248e+01,1.016754401852805190e+00,1.355932203389830448e+01,5.496840291093599262e+01,1.864049736730142737e+00,1.955932203389830448e+01
4.100000000000000000e+01,2.998189280140035962e+01,1.042163156774141841e+00,1.389830508474576298e+01,5.496680346923398730e+01,1.910632454085926746e+00,1.989830508474576476e+01
4.200000000000000000e+01,2.998099884612651422e+01,1.067571163230170983e+00,1.423728813559321971e+01,5.496516455123194334e+01,1.957213799255313358e+00,2.023728813559321793e+01
4.300000000000000000e+01,2.998008335896740206e+01,1.092978402973258767e+00,1.457627118644067643e+01,5.496348615810690319e+01,2.003793738784307887e+00,2.057627118644067821e+01
4.400000000000000000e+01,2.997914634058050254e+01,1.118384857756322237e+00,1.491525423728813493e+01,5.496176829106425288e+01,2.050372239219924175e+00,2.091525423728813493e+01
4.500000000000000000e+01,2.997818779163877423e+01,1.143790509332842875e+00,1.525423728813559165e+01,5.496001095133775749e+01,2.096949267110212123e+00,2.125423728813559165e+01
4.600000000000000000e+01,2.997720771283063002e+01,1.169195339456877702e+00,1.559322033898305193e+01,5.495821414018949014e+01,2.143524789004275899e+00,2.159322033898305193e+01
4.700000000000000000e+01,2.997620610485994774e+01,1.194599329883074823e+00,1.593220338983050866e+01,5.495637785890990301e+01,2.190098771452303694e+00,2.193220338983050866e+01
4.800000000000000000e+01,2.997518296844606667e+01,1.220002462366684526e+00,1.627118644067796538e+01,5.495450210881779185e+01,2.236671181005588593e+00,2.227118644067796538e+01
4.900000000000000000e+01,2.997413830432378745e+01,1.245404718663573940e+00,1.661016949152542566e+01,5.495258689126027463e+01,2.283241984216552556e+00,2.261016949152542566e+01
5.000000000000000000e+01,2.997307211324336862e+01,1.270806080530239246e+00,1.694915254237287883e+01,5.495063220761284128e+01,2.329811147638771729e+00,2.294915254237287883e+01
5.100000000000000000e+01,2.997198439597053721e+01,1.296206529723819001e+00,1.728813559322033910e+01,5.494863805927931821e+01,2.376378637827001761e+00,2.328813559322033910e+01
5.200000000000000000e+01,2.997087515328647100e+01,1.321606048002106792e+00,1.762711864406779583e+01,5.494660444769186114e+01,2.422944421337196008e+00,2.362711864406779583e+01
5.300000000000000000e+01,2.996974438598780921e+01,1.347004617123565895e+00,1.796610169491525610e+01,5.494453137431098355e+01,2.469508464726537511e+00,2.396610169491525610e+01
5.400000000000000000e+01,2.996859209488665243e+01,1.372402218847339483e+00,1.830508474576271283e+01,5.494241884062552828e+01,2.516070734553455868e+00,2.430508474576271283e+01
5.500000000000000000e+01,2.996741828081056624e+01,1.397798834933267509e+00,1.864406779661016955e+01,5.494026684815270301e+01,2.562631197377656989e+00,2.464406779661016955e+01
5.600000000000000000e+01,2.996622294460255276e+01,1.423194447141896246e+00,1.898305084745762628e+01,5.493807539843801635e+01,2.609189819760143081e+00,2.498305084745762628e+01
5.700000000000000000e+01,2.996500608712108971e+01,1.448589037234493837e+00,1.932203389830508300e+01,5.493584449305533468e+01,2.655746568263238849e+00,2.532203389830508300e+01
5.800000000000000000e+01,2.996376770924010557e+01,1.473982586973062059e+00,1.966101694915254328e+01,5.493357413360686081e+01,2.702301409450614145e+00,2.566101694915254328e+01
5.900000000000000000e+01,2.996250781184898671e+01,1.499375078120349869e+00,2.000000000000000000e+01,5.493126432172314821e+01,2.748854309887308389e+00,2.600000000000000000e+01
